Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
0351430P;Ecole primaire privée St Jean-Baptiste;Ecole;Privé;28Le bourg;;35133 LA SELLE EN LUITRE;35133;35324;La Selle-en-Luitré;035;14;53;1;1;;;;0299979595;;;ec.0351430P@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;78012319600047;43;;48.311767375530174, -1.1268825459454013;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;394168.9;6809265.3;EPSG:2154;Circonscription d'inspection du 1er degré de Fougères;48.311767375530174;-1.1268825459454013;Numéro de rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;035023;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0350967L;;;;
0351436W;Ecole primaire privée de Sougéal;Ecole;Privé;21 rue du Prieuré;;35610 SOUGEAL;35610;35329;Sougéal;035;14;53;1;1;;;;0299485730;;;ec.0351436W@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;31005748400019;24;;48.51154124429077, -1.523540568514555;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;366075.9;6833044.6;EPSG:2154;Circonscription d'inspection du 1er degré du Pays Malouin;48.51154124429077;-1.523540568514555;Numéro de rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0350021H;;;;
0351477R;Ecole primaire privée St Augustin;Ecole;Privé;11 ALLEE DE LA COUR BENITE;;35500 POCE LES BOIS;35500;35229;Pocé-les-Bois;035;14;53;1;1;;;;0299747198;;;ec.0351477R@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77771899000016;149;;48.1156039450562, -1.2492204464475842;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;383938.8;6787976.5;EPSG:2154;Circonscription d'inspection du 1er degré de Vitré;48.1156039450562;-1.2492204464475842;Rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0351909K;;;;
0351482W;Ecole primaire privée St Joseph;Ecole;Privé;13 rue de Saint Brieuc;;35290 QUEDILLAC;35290;35234;Quédillac;035;14;53;1;1;;;;0299062293;;;ec.0351482W@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77771973300027;129;;48.25120632336147, -2.14423954882865;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;318433.5;6806974.1;EPSG:2154;Circonscription d'inspection du 1er degré de Montfort-sur-Meu;48.25120632336147;-2.14423954882865;Numéro de rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0351850W;;;;
0351502T;Ecole primaire privée St Vincent Providence;Ecole;Privé;75 rue de Paris;;35000 RENNES;35000;35238;Rennes;035;14;53;1;1;;;;0299848109;;;ec.0351502T@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;57920161700035;511;;48.11336635632872, -1.662670056384888;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;353205.5;6789463.6;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Ouest;48.11336635632872;-1.662670056384888;Numéro de rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0350895H;;;;
0351543M;Ecole primaire privée St Joseph;Ecole;Privé;4 rue des Ecoles;;35500 ST AUBIN DES LANDES;35500;35252;Saint-Aubin-des-Landes;035;14;53;1;1;;;;0299495552;;;ec.0351543M@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77775500000018;94;;48.09509738150228, -1.2939105944094078;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;380494.1;6785880.8;EPSG:2154;Circonscription d'inspection du 1er degré de Vitré;48.09509738150228;-1.2939105944094078;Numéro de rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;035022;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0351909K;;;;
0351545P;Ecole primaire privée St Jean Baptiste;Ecole;Privé;2 rue de Tayee SAINT-AUBIN-DU-PAVAIL;;35410 CHATEAUGIRON;35410;35069;Châteaugiron;035;14;53;1;1;;;;0299374932;;;ec.0351545P@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77775570300017;86;;48.04254599614366, -1.4622898377036702;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;367648.4;6780744.9;EPSG:2154;Circonscription d'inspection du 1er degré de Châteaugiron;48.04254599614366;-1.4622898377036702;Numéro de rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0352248D;;;;
0351547S;Ecole primaire privée Ste Anne;Ecole;Privé;37 rue de Pleurtuit;;35800 ST BRIAC SUR MER;35800;35256;Saint-Briac-sur-Mer;035;14;53;1;1;;;;0299883081;;;ec.0351547S@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77775631300014;65;;48.61682407625423, -2.1294001165470062;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;322170.8;6847457.4;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Malo Ville;48.61682407625423;-2.1294001165470062;Numéro de rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0350044H;;;;
0351561G;Ecole primaire privée Notre Dame;Ecole;Privé;7 rue du Muguet;;35132 VEZIN LE COQUET;35132;35353;Vezin-le-Coquet;035;14;53;1;1;;;;0299645333;;;ec.0351561G@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77778720100014;262;;48.118205049624244, -1.7551195146613046;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;346370.0;6790410.4;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Ouest;48.118205049624244;-1.7551195146613046;Numéro de rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0351847T;;;;
0351566M;Ecole primaire privée Notre Dame;Ecole;Privé;2 place Jean Rozé;;35500 VITRE;35500;35360;Vitré;035;14;53;1;1;;;;0299753447;;;ec.0351566M@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;47903728500034;204;;48.12476165423511, -1.2154202217695225;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;386504.8;6788858.0;EPSG:2154;Circonscription d'inspection du 1er degré de Vitré;48.12476165423511;-1.2154202217695225;Ville;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0351909K;;;;
0351567N;Ecole maternelle privée Ste Bernadette;Ecole;Privé;8 rue de la Guerche;;35500 VITRE;35500;35360;Vitré;035;14;53;1;0;;;;0299752737;;;ec.0351567N@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;47903728500026;108;;48.1115430161974, -1.2096505213387123;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;386855.2;6787368.2;EPSG:2154;Circonscription d'inspection du 1er degré de Vitré;48.1115430161974;-1.2096505213387123;Numéro de rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;30;0351909K;;;;
0351570S;Ecole élémentaire privée Ste Jeanne d'Arc;Ecole;Privé;13 place de la République;;35500 VITRE;35500;35360;Vitré;035;14;53;0;1;;;;0299752239;;;ec.0351570S@ac-rennes.fr;1;0;1;;;;;;;;;;;;;;;37961849900014;212;;48.12515533391021, -1.2089198046941414;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;386990.1;6788875.9;EPSG:2154;Circonscription d'inspection du 1er degré de Vitré;48.12515533391021;-1.2089198046941414;Numéro de rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0351909K;;;;
0351572U;Ecole primaire privée Montessori;Ecole;Privé;14 rue des Arts;;35000 RENNES;35000;35238;Rennes;035;14;53;1;1;;;;0299592556;;;ec.0351572U@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77774572000022;165;;48.11100731897576, -1.715490268690535;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;349265.9;6789435.2;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Ouest;48.11100731897576;-1.715490268690535;Numéro de rue;1980-09-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0350895H;;;;
0351611L;Ecole primaire publique la Clé des Champs;Ecole;Public;39 rue du Général de Gaulle;;35140 ST OUEN DES ALLEUX;35140;35304;Saint-Ouen-des-Alleux;035;14;53;1;1;;;;0299393928;;;ecole.0351611L@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350304800034;138;;48.32921260986343, -1.4242195574754926;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;372265.0;6812394.3;EPSG:2154;Circonscription d'inspection du 1er degré de Vitré;48.32921260986343;-1.4242195574754926;Numéro de rue;1971-06-24;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350039C;;;;
0351636N;Ecole maternelle publique de Bécherel;Ecole;Public;4 chemin de la Roncette;;35190 BECHEREL;35190;35022;Bécherel;035;14;53;1;0;;;;0299667758;;;ecole.0351636N@ac-rennes.fr;0;0;0;;;;;;;;;;;;;;;21350022600039;59;;48.2955601715207, -1.9468563385952733;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;333363.2;6810958.5;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Grégoire;48.2955601715207;-1.9468563385952733;Numéro de rue;1971-06-24;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;035009;101;ECOLE MATERNELLE;99;0350057X;;;;
0351648B;Ecole primaire publique Les Petits Cailloux;Ecole;Public;3 rue du Garun;;35290 LE CROUAIS;35290;35091;Le Crouais;035;14;53;1;1;;;;0299096571;;;ecole.0351648B@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350091100028;70;;48.20763595745382, -2.1412198840110244;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;318342.1;6802127.4;EPSG:2154;Circonscription d'inspection du 1er degré de Montfort-sur-Meu;48.20763595745382;-2.1412198840110244;Numéro de rue;1971-06-24;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0351850W;;;;
0351654H;Ecole primaire publique les Frênes;Ecole;Public;2 impasse du Pont aux Prêtres;;35111 LA FRESNAIS;35111;35116;La Fresnais;035;14;53;1;1;;;;0299586371;;;ecole.0351654H@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350116600028;190;;48.59571745612712, -1.844797913033209;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;342963.5;6843791.3;EPSG:2154;Circonscription d'inspection du 1er degré du Pays Malouin;48.59571745612712;-1.844797913033209;Numéro de rue;1971-06-24;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350003N;;;;
0351670A;Ecole primaire publique Les P'tits Pitaos;Ecole;Public;1 rue DE TREKOET;;35290 MUEL;35290;35201;Muel;035;14;53;1;1;;;;0299075064;;;ecole.0351670A@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350201600024;86;;48.12639387802136, -2.159130595149312;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;316424.9;6793204.6;EPSG:2154;Circonscription d'inspection du 1er degré de Montfort-sur-Meu;48.12639387802136;-2.159130595149312;Numéro de rue;1971-06-24;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0351850W;;;;
0351674E;Ecole élémentaire publique le Petit Prince;Ecole;Public;17 rue de Bédée;;35137 PLEUMELEUC;35137;35227;Pleumeleuc;035;14;53;0;1;;;;0299070710;;;ecole.0351674E@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350227100066;199;;48.18301825106514, -1.923950484559426;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;334279.2;6798368.8;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Grégoire;48.18301825106514;-1.923950484559426;Numéro de rue;1971-06-24;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350057X;;;;
0351686T;Ecole primaire publique Françoise Dolto;Ecole;Public;8 rue Frédéric Lanne;;35230 BOURGBARRE;35230;35032;Bourgbarré;035;14;53;1;1;;;;0299577207;;;ecole.0351686T@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350032500021;453;;47.99143980964948, -1.6141398438382368;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;356019.6;6775725.5;EPSG:2154;Circonscription d'inspection du 1er degré de Bruz;47.99143980964948;-1.6141398438382368;Numéro de rue;1972-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0352691K;;;;
0351699G;Ecole primaire privée St Joseph;Ecole;Privé;10 RUE DU PARC;;35135 CHANTEPIE;35135;35055;Chantepie;035;14;53;1;1;;;;0299415193;;;ec.0351699G@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77766303000032;321;;48.08789580355171, -1.6154796297997855;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;356546.0;6786431.7;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Sud;48.08789580355171;-1.6154796297997855;Numéro de rue;1972-05-03;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0351851X;;;;
0351701J;Ecole primaire privée le Sacré Coeur;Ecole;Privé;15 rue de Fougères;;35340 ERCE PRES LIFFRE;35340;35107;Ercé-près-Liffré;035;14;53;1;1;;;;0299683560;;;ec.0351701J@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77767778200016;65;;48.25486802605836, -1.5135406115634296;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;365183.4;6804519.3;EPSG:2154;Circonscription d'inspection du 1er degré de Liffre;48.25486802605836;-1.5135406115634296;Numéro de rue;1972-05-03;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0351790F;;;;
0351710U;Ecole primaire privée Ste Thérèse;Ecole;Privé;26 rue Jean Janvier;;35420 ST GEORGES DE REINTEMBAULT;35420;35271;Saint-Georges-de-Reintembault;035;14;53;1;1;;;;0299970133;;;ec.0351710U@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77776007500021;88;;48.50763388623079, -1.244600540959839;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;386623.2;6831467.6;EPSG:2154;Circonscription d'inspection du 1er degré de Fougères;48.50763388623079;-1.244600540959839;Numéro de rue;1972-05-03;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;035042;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0350041E;;;;
0351712W;Ecole primaire privée Ste Thérèse;Ecole;Privé;6 place Arthur Regnault;;35430 ST PERE MARC EN POULET;35430;35306;Saint-Père-Marc-en-Poulet;035;14;53;1;1;;;;0299588127;;;ec.0351712W@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;30442660400019;69;;48.588317654460944, -1.9238676517278246;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;337092.7;6843330.7;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Malo Ville;48.588317654460944;-1.9238676517278246;Numéro de rue;1972-05-03;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0350044H;;;;
0351728N;Ecole primaire privée Notre Dame;Ecole;Privé;3 rue de l'Ecole;;35150 AMANLIS;35150;35002;Amanlis;035;14;53;1;1;;;;0299444554;;;ec.0351728N@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;31864905000016;170;;48.00514644603671, -1.4764996780300799;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;366355.7;6776655.5;EPSG:2154;Circonscription d'inspection du 1er degré de Châteaubourg;48.00514644603671;-1.4764996780300799;Numéro de rue;1972-06-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0351053E;;;;
0351730R;Ecole primaire privée de La Chapelle de Brain;Ecole;Privé;1 rue de la Pensée;;35660 LA CHAPELLE DE BRAIN;35660;35064;La Chapelle-de-Brain;035;14;53;1;1;;;;0299702094;;;ec.0351730R@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77766447500012;51;;47.70002891658177, -1.9356405953020668;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;330059.6;6744858.8;EPSG:2154;Circonscription d'inspection du 1er degré de Redon;47.70002891658177;-1.9356405953020668;Numéro de rue;1972-06-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;035029;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0351969A;;;;
0351732T;Ecole primaire privée Ste Jeanne d'Arc;Ecole;Privé;13 rue de la Grotte;;35134 COESMES;35134;35082;Coësmes;035;14;53;1;1;;;;0299477667;;;ec.0351732T@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;32298089700019;66;;47.88233361392881, -1.4395897909488669;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;368336.9;6762875.0;EPSG:2154;Circonscription d'inspection du 1er degré de Bain-de-Bretagne;47.88233361392881;-1.4395897909488669;Numéro de rue;1972-06-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;035020;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0351882F;;;;
0351765D;Ecole élémentaire publique les Grands Prés Verts;Ecole;Public;30 avenue Gabriel Fauré;;35235 THORIGNE FOUILLARD;35235;35334;Thorigné-Fouillard;035;14;53;0;1;;;;0299620718;;;ecole.0351765D@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350334500166;341;;48.15547616253379, -1.5884805622036107;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;358989.0;6793812.2;EPSG:2154;Circonscription d'inspection du 1er degré de Châteaugiron;48.15547616253379;-1.5884805622036107;Numéro de rue;1972-06-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0352167R;;;;
0351782X;Ecole primaire privée St Joseph;Ecole;Privé;30 rue de Bel Air;;35350 ST COULOMB;35350;35263;Saint-Coulomb;035;14;53;1;1;;;;0299890105;;;ec.0351782X@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77775810300017;73;;48.6779308558709, -1.9124001275731362;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;338556.2;6853221.4;EPSG:2154;Circonscription d'inspection du 1er degré du Pays Malouin;48.6779308558709;-1.9124001275731362;Numéro de rue;1972-09-25;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0350003N;;;;
0351814G;Ecole maternelle publique Georges Martinais;Ecole;Public;7 rue de Rennes;;35520 LA CHAPELLE DES FOUGERETZ;35520;35059;La Chapelle-des-Fougeretz;035;14;53;1;0;;;;0299665414;;;ecole.0351814G@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350059800049;109;;48.17620145876043, -1.7317198380688388;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;348494.1;6796739.6;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Grégoire;48.17620145876043;-1.7317198380688388;Numéro de rue;1973-06-06;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0352760K;;;;
0351817K;Ecole maternelle publique de Chavagne;Ecole;Public;9 rue de la Croix Verte;;35310 CHAVAGNE;35310;35076;Chavagne;035;14;53;1;0;;;;0299642631;;;ecole.0351817K@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350076200033;90;;48.05406588964531, -1.7909702991915153;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;343274.9;6783457.0;EPSG:2154;Circonscription d'inspection du 1er degré de Pacé;48.05406588964531;-1.7909702991915153;Numéro de rue;1973-06-06;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0352030S;;;;
0351823S;Ecole élémentaire publique Eugène Allanic;Ecole;Public;20 rue Théodore Botrel;;35590 L HERMITAGE;35590;35131;L'Hermitage;035;14;53;0;1;;;;0299641343;;;ecole.0351823S@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350131500039;252;;48.12726644915221, -1.8148699992106063;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;341993.3;6791684.8;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande;48.12726644915221;-1.8148699992106063;Numéro de rue;1973-06-06;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0351847T;;;;
0351827W;Ecole primaire publique Jean de la Fontaine;Ecole;Public;4 rue Jean de la Fontaine;;35550 PIPRIAC;35550;35219;Pipriac;035;14;53;1;1;;;;0299344321;;;ecole.0351827W@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350219800020;242;;47.811777738647194, -1.9422400872177683;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;330342.2;6757281.4;EPSG:2154;Circonscription d'inspection du 1er degré de Redon;47.811777738647194;-1.9422400872177683;Numéro de rue;1973-06-06;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350017D;;;;
0351866N;Ecole maternelle publique Pierre Leroux;Ecole;Public;7 rue des Ecoles;;35310 BREAL SOUS MONTFORT;35310;35037;Bréal-sous-Montfort;035;14;53;1;0;;;;0299542732;;;ecole.0351866N@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350037400029;147;;48.04946206548624, -1.8617100932626371;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;337982.9;6783268.3;EPSG:2154;Circonscription d'inspection du 1er degré de Pacé;48.04946206548624;-1.8617100932626371;Numéro de rue;1974-05-21;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0352958A;;;;
0351873W;Ecole maternelle publique les Grains d'Orge;Ecole;Public;10 rue DE RENNES;;35230 ORGERES;35230;35208;Orgères;035;14;53;1;0;;;;0299576264;;;ecole.0351873W@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350208100036;190;;47.997171845234234, -1.6678099885673203;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;352060.8;6776596.5;EPSG:2154;Circonscription d'inspection du 1er degré de Bruz;47.997171845234234;-1.6678099885673203;Numéro de rue;1974-07-05;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0352691K;;;;
0351894U;Ecole élémentaire publique Bourgchevreuil;Ecole;Public;18 boulevard des Métairies;;35510 CESSON SEVIGNE;35510;35051;Cesson-Sévigné;035;14;53;0;1;;;;0299831839;;;ecole.0351894U@ac-rennes.fr;1;0;1;;;;;;;;;;;;;;;21350051500068;309;;48.12399504979411, -1.5998203992410225;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;357943.5;6790368.6;EPSG:2154;Circonscription d'inspection du 1er degré de Liffre;48.12399504979411;-1.5998203992410225;Numéro de rue;1975-05-14;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0351906G;;;;
0351928F;Ecole maternelle publique Marc Sangnier;Ecole;Public;38 rue Marc Sangnier;;35000 RENNES;35000;35238;Rennes;035;14;53;1;0;;;;0257213068;;;ecole.0351928F@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350238800845;111;;48.09304379861323, -1.6564296469334128;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;353536.0;6787181.7;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Sud;48.09304379861323;-1.6564296469334128;Numéro de rue;1976-07-08;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0351851X;;;;
0351987V;Ecole maternelle publique Jules Isaac;Ecole;Public;9 rue du Morbihan;;35700 RENNES;35700;35238;Rennes;035;14;53;1;0;;;;0257213064;;;ecole.0351987V@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350238800647;108;;48.13290810725486, -1.6692004183664777;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;352848.7;6791660.2;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Est;48.13290810725486;-1.6692004183664777;Numéro de rue;1977-05-23;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0350027P;;;;
